username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
BAL_Immigration,We are a global firm singularly focused on meeting the immigration challenges of corporate clients around the world.,,97,4624,19894,2011-12-15 21:08:13,2020-10-26 19:02:02,0,"What will high-skilled #immigration policy look like following the 2020 #election? Join BAL’s Government Strategies Group on Thursday, October 29, 2020 to learn what a #Trump or #Biden win means for your US immigration program. Register here: https://t.co/3VpOXxvGby #2020election https://t.co/VBND6CheFl","[{'text': 'immigration', 'indices': [23, 35]}, {'text': 'election', 'indices': [72, 81]}, {'text': 'Trump', 'indices': [168, 174]}, {'text': 'Biden', 'indices': [178, 184]}, {'text': '2020election', 'indices': [267, 280]}]"
davidjagielski,"I write about healthcare and cannabis stocks on https://t.co/diRR85V59i; all industries on https://t.co/cO3KKBf79Z
https://t.co/OTNXdzZhq1
https://t.co/FcAHXlvIyQ",,8,316,621,2016-02-09 00:43:13,2020-10-26 19:00:01,0,"Forget Trump vs. Biden: Cannabis Investors Should Focus on These Election-Night Results

https://t.co/ctLiMsGUOc

#cannabis #investing #stocks #potstocks #marijuanastocks #election #biden #trump $CURLF $TCNNF $ACB $CGC $GTBIF","[{'text': 'cannabis', 'indices': [114, 123]}, {'text': 'investing', 'indices': [124, 134]}, {'text': 'stocks', 'indices': [135, 142]}, {'text': 'potstocks', 'indices': [143, 153]}, {'text': 'marijuanastocks', 'indices': [154, 170]}, {'text': 'election', 'indices': [171, 180]}, {'text': 'biden', 'indices': [181, 187]}, {'text': 'trump', 'indices': [188, 194]}]"
_MisterOwl,"I respect strength, hate belligerent ignorance, detest fake news & bullshit conspiracies, love family, & value life over trend, so I’m vegetarian. 🤷🏻‍♂️ hi.",13 mi. from your location.,23,32,1564,2013-12-05 00:38:12,2020-10-26 18:32:36,1,"#Biden lost this race when he threatened #oilandgas. There are powers far greater than our figureheads, and if you think that they're going to let him back in at the #election, you're crazy.
#Trump #Trump2020  #MAGA","[{'text': 'Biden', 'indices': [0, 6]}, {'text': 'oilandgas', 'indices': [41, 51]}, {'text': 'election', 'indices': [166, 175]}, {'text': 'Trump', 'indices': [191, 197]}, {'text': 'Trump2020', 'indices': [198, 208]}, {'text': 'MAGA', 'indices': [210, 215]}]"
RebelLeader10,#RebelLeader #TheResistance #AntiTrump #ThePeople #RebelScum #StrongerTogether #NeverthelessShePersisted,Yavin,2266,2183,41044,2017-12-14 10:26:26,2020-10-26 18:06:49,0,"@Nate_Cohn It's hard to imagine undecideds breaking for #Trump as an incumbent with the most publicized record of any #president* in history.

In 2016, undecideds broke late for the incumbent tipping the #election.

No reason to believe undecided won't similarly break for #Biden in 2020.","[{'text': 'Trump', 'indices': [56, 62]}, {'text': 'president', 'indices': [118, 128]}, {'text': 'election', 'indices': [204, 213]}, {'text': 'Biden', 'indices': [273, 279]}]"
MichaelOngRisk,"Finance expert in enterprise #risk management, #banking, and capital #markets; Professor of #Finance; #Physics; #Mathematics; Seeker of Light; Upholder of Truth",,4862,3740,10083,2017-02-05 16:36:44,2020-10-26 17:56:15,0,"The week in polls: Trump gains in 9 of 12 swing states, but Biden still leads in 10 of them #Election2020 #Trump #Biden #Democrats #Republicans #election #polls 
https://t.co/tOftjOwHcZ  @USATODAY","[{'text': 'Election2020', 'indices': [92, 105]}, {'text': 'Trump', 'indices': [106, 112]}, {'text': 'Biden', 'indices': [113, 119]}, {'text': 'Democrats', 'indices': [120, 130]}, {'text': 'Republicans', 'indices': [131, 143]}, {'text': 'election', 'indices': [144, 153]}, {'text': 'polls', 'indices': [154, 160]}]"
MichaelOngRisk,"Finance expert in enterprise #risk management, #banking, and capital #markets; Professor of #Finance; #Physics; #Mathematics; Seeker of Light; Upholder of Truth",,4862,3740,10083,2017-02-05 16:36:44,2020-10-26 17:54:14,0,"Americans worried about Election Day violence and chaos are buying guns and toilet paper #Election2020 #violence #anarchy #antifa #America #democracy #media #FakeNews #Trump #Biden #election 
 https://t.co/K22IeRXWk0  @USATODAY","[{'text': 'Election2020', 'indices': [89, 102]}, {'text': 'violence', 'indices': [103, 112]}, {'text': 'anarchy', 'indices': [113, 121]}, {'text': 'antifa', 'indices': [122, 129]}, {'text': 'America', 'indices': [130, 138]}, {'text': 'democracy', 'indices': [139, 149]}, {'text': 'media', 'indices': [150, 156]}, {'text': 'FakeNews', 'indices': [157, 166]}, {'text': 'Trump', 'indices': [167, 173]}, {'text': 'Biden', 'indices': [174, 180]}, {'text': 'election', 'indices': [181, 190]}]"
scwrussiareport,SCW Russia Report is a project of @stevencwelsh,,99,18,431,2015-01-28 04:04:50,2020-10-26 17:50:45,0,Trump Surges into Lead With 1-Point Advantage Over Biden in Latest Rasmussen Poll ………. @RealDonaldTrump #TRUMP #ELECTION #BIDEN #2020ELECTION #POLLS #TRUMPLEAD #RASMUSSEN https://t.co/Jy9dXhppV4,"[{'text': 'TRUMP', 'indices': [104, 110]}, {'text': 'ELECTION', 'indices': [111, 120]}, {'text': 'BIDEN', 'indices': [121, 127]}, {'text': '2020ELECTION', 'indices': [128, 141]}, {'text': 'POLLS', 'indices': [142, 148]}, {'text': 'TRUMPLEAD', 'indices': [149, 159]}, {'text': 'RASMUSSEN', 'indices': [160, 170]}]"
WashingtonWire1,"News, Security, Politics, International, Economy, Energy, Law, Health, Science, Culture & Values; project of @stevencwelsh; RT/follow not always endorsement",Washington Wire Global Report,1284,108,4679,2011-02-03 02:44:20,2020-10-26 17:50:43,0,Trump Surges into Lead With 1-Point Advantage Over Biden in Latest Rasmussen Poll ………. @RealDonaldTrump #TRUMP #ELECTION #BIDEN #2020ELECTION #POLLS #TRUMPLEAD #RASMUSSEN https://t.co/vy5L6CQhM0,"[{'text': 'TRUMP', 'indices': [104, 110]}, {'text': 'ELECTION', 'indices': [111, 120]}, {'text': 'BIDEN', 'indices': [121, 127]}, {'text': '2020ELECTION', 'indices': [128, 141]}, {'text': 'POLLS', 'indices': [142, 148]}, {'text': 'TRUMPLEAD', 'indices': [149, 159]}, {'text': 'RASMUSSEN', 'indices': [160, 170]}]"
RubberNews,Where the rubber industry gets its news first.,"Akron, Ohio",979,5609,14086,2009-05-19 15:24:57,2020-10-26 19:30:08,1,"Depending on who wins the White House and who controls Congress, life could look much different in 2021, especially when it comes to issues including taxation, regulation, climate change and infrastructure repair.
#election #rubbernews #trump #biden
https://t.co/YjtC9VYBRW",[]
John_Zang,"@DMGSLLC Senior Policy Analyst, @AUWCL J.D. Candidate, a political Pennsylvanian now living in Washington, DC","Washington, DC",314,451,2457,2011-01-30 21:53:37,2020-10-26 19:05:24,4,"Want to keep up with the various important national races and see which states are ""must wins"" for both President #Trump and former VP #Biden? Then download 💻 the DMGS #Election Guide &amp; Results Tracker below!

#Elections #Election2020 #GeneralElection

https://t.co/PsaXKyzcP1","[{'text': 'Trump', 'indices': [127, 133]}]"
BAL_Immigration,We are a global firm singularly focused on meeting the immigration challenges of corporate clients around the world.,,97,4624,19894,2011-12-15 21:08:13,2020-10-26 19:02:02,0,"What will high-skilled #immigration policy look like following the 2020 #election? Join BAL’s Government Strategies Group on Thursday, October 29, 2020 to learn what a #Trump or #Biden win means for your US immigration program. Register here: https://t.co/3VpOXxvGby #2020election https://t.co/VBND6CheFl","[{'text': 'immigration', 'indices': [23, 35]}, {'text': 'election', 'indices': [72, 81]}, {'text': 'Trump', 'indices': [168, 174]}, {'text': 'Biden', 'indices': [178, 184]}, {'text': '2020election', 'indices': [267, 280]}]"
davidjagielski,"I write about healthcare and cannabis stocks on https://t.co/diRR85V59i; all industries on https://t.co/cO3KKBf79Z
https://t.co/OTNXdzZhq1
https://t.co/FcAHXlvIyQ",,8,316,621,2016-02-09 00:43:13,2020-10-26 19:00:01,0,"Forget Trump vs. Biden: Cannabis Investors Should Focus on These Election-Night Results

https://t.co/ctLiMsGUOc

#cannabis #investing #stocks #potstocks #marijuanastocks #election #biden #trump $CURLF $TCNNF $ACB $CGC $GTBIF","[{'text': 'cannabis', 'indices': [114, 123]}, {'text': 'investing', 'indices': [124, 134]}, {'text': 'stocks', 'indices': [135, 142]}, {'text': 'potstocks', 'indices': [143, 153]}, {'text': 'marijuanastocks', 'indices': [154, 170]}, {'text': 'election', 'indices': [171, 180]}, {'text': 'biden', 'indices': [181, 187]}, {'text': 'trump', 'indices': [188, 194]}]"
_MisterOwl,"I respect strength, hate belligerent ignorance, detest fake news & bullshit conspiracies, love family, & value life over trend, so I’m vegetarian. 🤷🏻‍♂️ hi.",13 mi. from your location.,23,32,1564,2013-12-05 00:38:12,2020-10-26 18:32:36,1,"#Biden lost this race when he threatened #oilandgas. There are powers far greater than our figureheads, and if you think that they're going to let him back in at the #election, you're crazy.
#Trump #Trump2020  #MAGA","[{'text': 'Biden', 'indices': [0, 6]}, {'text': 'oilandgas', 'indices': [41, 51]}, {'text': 'election', 'indices': [166, 175]}, {'text': 'Trump', 'indices': [191, 197]}, {'text': 'Trump2020', 'indices': [198, 208]}, {'text': 'MAGA', 'indices': [210, 215]}]"
RebelLeader10,#RebelLeader #TheResistance #AntiTrump #ThePeople #RebelScum #StrongerTogether #NeverthelessShePersisted,Yavin,2266,2183,41044,2017-12-14 10:26:26,2020-10-26 18:06:49,0,"@Nate_Cohn It's hard to imagine undecideds breaking for #Trump as an incumbent with the most publicized record of any #president* in history.

In 2016, undecideds broke late for the incumbent tipping the #election.

No reason to believe undecided won't similarly break for #Biden in 2020.","[{'text': 'Trump', 'indices': [56, 62]}, {'text': 'president', 'indices': [118, 128]}, {'text': 'election', 'indices': [204, 213]}, {'text': 'Biden', 'indices': [273, 279]}]"
MichaelOngRisk,"Finance expert in enterprise #risk management, #banking, and capital #markets; Professor of #Finance; #Physics; #Mathematics; Seeker of Light; Upholder of Truth",,4862,3740,10083,2017-02-05 16:36:44,2020-10-26 17:56:15,0,"The week in polls: Trump gains in 9 of 12 swing states, but Biden still leads in 10 of them #Election2020 #Trump #Biden #Democrats #Republicans #election #polls 
https://t.co/tOftjOwHcZ  @USATODAY","[{'text': 'Election2020', 'indices': [92, 105]}, {'text': 'Trump', 'indices': [106, 112]}, {'text': 'Biden', 'indices': [113, 119]}, {'text': 'Democrats', 'indices': [120, 130]}, {'text': 'Republicans', 'indices': [131, 143]}, {'text': 'election', 'indices': [144, 153]}, {'text': 'polls', 'indices': [154, 160]}]"
MichaelOngRisk,"Finance expert in enterprise #risk management, #banking, and capital #markets; Professor of #Finance; #Physics; #Mathematics; Seeker of Light; Upholder of Truth",,4862,3740,10083,2017-02-05 16:36:44,2020-10-26 17:54:14,0,"Americans worried about Election Day violence and chaos are buying guns and toilet paper #Election2020 #violence #anarchy #antifa #America #democracy #media #FakeNews #Trump #Biden #election 
 https://t.co/K22IeRXWk0  @USATODAY","[{'text': 'Election2020', 'indices': [89, 102]}, {'text': 'violence', 'indices': [103, 112]}, {'text': 'anarchy', 'indices': [113, 121]}, {'text': 'antifa', 'indices': [122, 129]}, {'text': 'America', 'indices': [130, 138]}, {'text': 'democracy', 'indices': [139, 149]}, {'text': 'media', 'indices': [150, 156]}, {'text': 'FakeNews', 'indices': [157, 166]}, {'text': 'Trump', 'indices': [167, 173]}, {'text': 'Biden', 'indices': [174, 180]}, {'text': 'election', 'indices': [181, 190]}]"
scwrussiareport,SCW Russia Report is a project of @stevencwelsh,,99,18,431,2015-01-28 04:04:50,2020-10-26 17:50:45,0,Trump Surges into Lead With 1-Point Advantage Over Biden in Latest Rasmussen Poll ………. @RealDonaldTrump #TRUMP #ELECTION #BIDEN #2020ELECTION #POLLS #TRUMPLEAD #RASMUSSEN https://t.co/Jy9dXhppV4,"[{'text': 'TRUMP', 'indices': [104, 110]}, {'text': 'ELECTION', 'indices': [111, 120]}, {'text': 'BIDEN', 'indices': [121, 127]}, {'text': '2020ELECTION', 'indices': [128, 141]}, {'text': 'POLLS', 'indices': [142, 148]}, {'text': 'TRUMPLEAD', 'indices': [149, 159]}, {'text': 'RASMUSSEN', 'indices': [160, 170]}]"
WashingtonWire1,"News, Security, Politics, International, Economy, Energy, Law, Health, Science, Culture & Values; project of @stevencwelsh; RT/follow not always endorsement",Washington Wire Global Report,1284,108,4679,2011-02-03 02:44:20,2020-10-26 17:50:43,0,Trump Surges into Lead With 1-Point Advantage Over Biden in Latest Rasmussen Poll ………. @RealDonaldTrump #TRUMP #ELECTION #BIDEN #2020ELECTION #POLLS #TRUMPLEAD #RASMUSSEN https://t.co/vy5L6CQhM0,"[{'text': 'TRUMP', 'indices': [104, 110]}, {'text': 'ELECTION', 'indices': [111, 120]}, {'text': 'BIDEN', 'indices': [121, 127]}, {'text': '2020ELECTION', 'indices': [128, 141]}, {'text': 'POLLS', 'indices': [142, 148]}, {'text': 'TRUMPLEAD', 'indices': [149, 159]}, {'text': 'RASMUSSEN', 'indices': [160, 170]}]"
